Fecha,ITCR,IPE,ITCE,ITCI,INPC
01/01/2000,73.3167,152.5354,134.416,337.0298,520.7336
01/02/2000,71.3904,153.0626,136.814,335.8316,525.3527
01/03/2000,69.9754,153.8138,137.2815,330.5091,528.2652
01/04/2000,69.985,154.0867,137.8886,333.3144,531.2708
01/05/2000,69.261,154.3337,141.0107,338.0538,533.2568
01/06/2000,72.4254,154.8162,138.5718,348.3538,536.4155
01/07/2000,69.336,154.9206,139.4361,336.6565,538.5079
01/08/2000,66.7662,155.144,141.4137,330.1074,541.467
01/09/2000,66.0865,155.8751,143.2265,331.7891,545.4224
01/10/2000,66.3811,156.1239,144.6735,338.4129,549.1782
01/11/2000,65.7248,156.3322,145.068,338.4022,553.8738
01/12/2000,65.1794,156.5707,143.8092,335.7712,559.8701
01/01/2001,67.8552,156.9251,142.4434,347.369,562.9739
01/02/2001,67.1771,157.3574,143.3771,344.9726,562.6013
01/03/2001,65.3929,157.8205,145.5142,341.9683,566.1658
01/04/2001,62.8012,158.6867,147.3718,332.4611,569.0217
01/05/2001,61.3574,159.3757,147.8487,325.2044,570.3274
01/06/2001,60.3578,159.5274,149.2486,323.3912,571.6764
01/07/2001,60.7606,159.335,149.4504,325.5351,570.191
01/08/2001,61.4164,159.5843,146.7506,324.5111,573.5693
01/09/2001,63.1392,160.0293,145.8161,333.645,578.9086
01/10/2001,62.3133,159.9527,146.7692,333.0904,581.525
01/11/2001,60.5812,159.794,147.9051,327.8923,583.7156
01/12/2001,59.8519,159.9154,148.7198,325.9333,584.524
01/01/2002,58.6604,160.3119,150.63,325.7271,589.9198
01/02/2002,57.9653,160.7242,152.0054,323.7645,589.5406
01/03/2002,55.5649,161.499,158.085,322.865,592.5562
01/04/2002,56.0843,162.3725,157.4887,324.6711,595.793
01/05/2002,59.3188,162.799,154.8348,337.4067,597.0006
01/06/2002,61.6367,162.9559,152.3092,346.2206,599.9114
01/07/2002,63.1505,163.013,149.1984,348.3538,601.6336
01/08/2002,62.8038,163.5004,150.329,349.3494,603.9211
01/09/2002,63.9382,163.9816,150.4577,357.054,607.5536
01/10/2002,63.7873,164.232,151.1836,358.9597,610.2314
01/11/2002,64.4905,164.4196,150.0803,362.7675,615.1668
01/12/2002,64.9237,164.6469,148.5652,362.5898,617.8446
01/01/2003,68.5776,165.1212,145.6939,376.0293,620.3423
01/02/2003,71.2386,165.9491,145.1549,388.3097,622.0655
01/03/2003,71.2197,166.695,145.2113,389.0599,625.9922
01/04/2003,69.1805,166.8561,145.145,378.0274,627.0609
01/05/2003,68.8524,166.8865,141.0806,364.4528,625.0375
01/06/2003,70.6987,166.9783,140.6373,373.153,625.5539
01/07/2003,69.5314,166.9952,142.0999,371.3077,626.4605
01/08/2003,70.8244,167.4476,143.3285,381.5935,628.3398
01/09/2003,72.537,167.934,142.0268,388.4484,632.0803
01/10/2003,75.7939,168.098,138.5982,397.1557,634.3979
01/11/2003,74.8285,168.0352,138.4822,395.1682,639.6635
01/12/2003,77.1563,168.3501,135.7688,400.4444,642.4134
01/01/2004,75.4644,168.666,134.1388,388.6368,646.4061
01/02/2004,75.8635,169.1896,134.0495,391.5523,650.2727
01/03/2004,74.8333,169.9785,135.8896,391.0403,652.4762
01/04/2004,76.2808,170.5907,136.6881,400.1102,653.4609
01/05/2004,77.7161,171.2913,138.1543,409.2974,651.8218
01/06/2004,77.6204,171.6204,136.7714,404.5723,652.8665
01/07/2004,78.3796,171.5346,136.1462,407.9322,654.5776
01/08/2004,77.1329,171.8588,136.8237,405.166,658.6184
01/09/2004,77.4044,172.2541,136.6084,408.3695,664.0641
01/10/2004,77.3682,173.0247,135.1596,404.8354,668.6632
01/11/2004,78.5995,173.075,132.0411,405.0985,674.3671
01/12/2004,78.2486,173.0126,130.1776,398.5636,675.76
01/01/2005,78.1923,172.995,130.7834,400.1849,675.7841
01/02/2005,76.9929,173.669,131.651,396.4375,678.0356
01/03/2005,77.3508,174.6474,130.9815,395.8117,681.0917
01/04/2005,76.5199,175.454,132.4672,395.5842,683.5173
01/05/2005,75.2872,175.5597,133.4275,390.8128,681.8002
01/06/2005,72.9589,175.5122,135.8002,385.1952,681.1457
01/07/2005,71.149,175.9003,137.2106,380.1856,683.8115
01/08/2005,71.9238,176.4639,135.7149,379.375,684.6281
01/09/2005,72.7939,177.5725,135.7668,383.2433,687.3719
01/10/2005,72.0896,177.9481,137.7093,385.0956,689.0591
01/11/2005,69.5325,177.4282,139.5006,380.086,694.0185
01/12/2005,68.9022,177.5167,139.0678,377.5901,698.2814
01/01/2006,69.267,178.025,137.2449,375.7342,702.3762
01/02/2006,68.194,178.3846,138.3296,372.6552,703.4509
01/03/2006,69.991,179.0859,138.0366,380.6478,704.3335
01/04/2006,73.0023,180.1573,136.8448,391.8296,705.3662
01/05/2006,75.7577,180.8642,133.6429,393.7922,702.2261
01/06/2006,77.1863,181.2214,134.9977,404.8354,702.8325
01/07/2006,74.5359,181.4222,135.1624,392.0501,704.7598
01/08/2006,73.7198,181.9761,134.4888,386.6138,708.3562
01/09/2006,73.299,181.9035,135.0657,390.1088,715.5071
01/10/2006,72.158,181.7305,135.8262,388.2564,718.6352
01/11/2006,72.3953,181.7076,134.3455,387.3569,722.4058
01/12/2006,72.7836,182.287,132.9193,386.2974,726.5847
01/01/2007,72.139,182.4491,134.3894,388.7648,730.3372
01/02/2007,72.7045,183.0544,134.0677,390.6706,732.3786
01/03/2007,74.4622,184.0886,132.996,395.5415,733.9637
01/04/2007,74.6272,185.0957,131.9164,390.827,733.5254
01/05/2007,74.1507,185.814,131.9551,385.0565,729.9469
01/06/2007,73.9197,186.1269,132.4768,385.1881,730.8235
01/07/2007,74.2397,186.2736,130.9962,383.8548,733.9277
01/08/2007,75.8685,186.6018,130.7318,392.3878,736.9177
01/09/2007,76.2822,187.202,129.5379,392.6971,742.6396
01/10/2007,75.675,187.9241,128.1701,385.4725,745.5336
01/11/2007,77.043,188.8508,125.9068,386.3258,750.7931
01/12/2007,76.381,189.4933,126.714,385.7427,753.8972
01/01/2008,77.3896,190.0129,125.6057,388.1498,757.3916
01/02/2008,76.6229,190.8283,125.4271,383.2539,759.6432
01/03/2008,78.4865,192.3387,122.0208,381.6611,765.1489
01/04/2008,77.3335,193.3995,121.8667,374.3689,766.8901
01/05/2008,76.5854,194.9481,123.2884,371.6917,766.0615
01/06/2008,75.4636,196.3682,124.0281,367.2936,769.2317
01/07/2008,75.1218,197.2755,123.3719,364.0404,773.5186
01/08/2008,71.9181,197.5782,126.4644,358.7641,777.9856
01/09/2008,73.583,197.9007,128.8627,375.9653,783.2873
01/10/2008,83.4572,197.4316,132.8016,443.4971,788.6249
01/11/2008,84.0919,195.8468,135.3563,464.371,797.589
01/12/2008,87.3242,195.0308,131.9867,475.4533,803.1127
01/01/2009,89.2199,194.9241,133.404,492.3985,804.974
01/02/2009,91.9823,195.5034,135.7499,516.1772,806.7512
01/03/2009,92.2631,195.9333,136.9141,524.0454,811.3924
01/04/2009,85.1528,196.4554,135.6496,479.5918,814.2323
01/05/2009,85.735,196.8075,132.6318,469.9104,811.8607
