Fecha,1,2,3,4,5,6,7,8,9,10,11,12,mean
2000,105.02,104.1,103.52,102.94,102.55,101.95,101.55,101,100.27,99.58,98.74,97.68,101.57
2001,90.18,90.24,89.67,89.22,89.01,88.8,89.03,88.51,87.69,87.3,86.97,86.85,88.62
2002,91.03,91.09,90.62,90.13,89.95,89.51,89.26,88.92,88.39,88,87.29,86.91,89.26
2003,90.46,90.21,89.65,89.49,89.78,89.71,89.58,89.31,88.78,88.46,87.73,87.35,89.21
2004,90.49,89.96,89.65,89.52,89.74,89.6,89.36,88.82,88.09,87.48,86.74,86.56,88.83
2005,90.46,90.16,89.75,89.44,89.66,89.75,89.4,89.29,88.93,88.72,88.08,87.54,89.26
2006,90.52,90.38,90.26,90.13,90.54,90.46,90.21,89.75,88.86,88.47,88.01,87.5,89.59
2007,90.44,90.18,89.99,90.04,90.49,90.38,89.99,89.63,88.94,88.59,87.97,87.61,89.52
2008,90.7,90.43,89.78,89.58,89.68,89.31,88.81,88.3,87.7,87.11,86.13,85.54,88.59
2009,89.29,89.09,88.58,88.27,88.53,88.37,88.13,87.92,87.48,87.21,86.76,86.41,88
2010,89.62,89.11,88.48,88.76,89.32,89.35,89.16,88.91,88.45,87.91,87.21,86.78,88.59
2011,89.9,89.57,89.39,89.4,90.07,90.07,89.64,89.5,89.28,88.68,87.73,87.02,89.19
2012,90.04,89.85,89.8,90.09,90.37,89.96,89.45,89.19,88.79,88.35,87.75,87.91,89.3
2013,90.98,90.53,89.87,89.81,90.11,90.17,90.2,89.94,89.6,89.18,88.35,87.85,89.72
2014,90.6,90.37,90.13,90.3,90.59,90.43,90.18,89.86,89.46,88.97,88.26,87.83,89.75
2015,91.46,91.28,90.91,92.05,92.52,92.36,92.23,92.03,91.69,91.22,90.72,90.36,91.57
2016,95.27,94.85,94.71,95.02,95.44,95.34,95.09,94.82,94.25,93.68,92.95,92.52,94.49
2017,99.7,99.12,98.52,98.4,98.52,98.27,97.9,97.42,97.11,96.51,95.52,104.83,98.48
2018,104.28,103.88,103.55,103.9,104.07,103.67,103.11,102.52,102.08,101.56,100.7,100,102.78
2019,122.93,122.96,122.49,122.42,122.78,122.7,122.24,122.26,121.94,121.28,120.31,119.65,122
2020,140.65,140.07,140.13,141.57,141.02,140.26,139.34,138.8,138.48,137.64,137.53,137.01,139.37
2021,156.32,155.33,154.06,153.56,153.24,152.43,151.54,151.25,150.33,149.08,147.39,146.86,152.23
2022,177.72,176.26,174.53,173.59,173.28,171.83,170.57,169.39,168.35,167.4,166.44,,171.76
